 127,   0
 125,  25
 118,  49
 105,  72
  89,  91
  69, 107
  46, 119
  22, 125
  -3, 127
 -29, 124
 -53, 116
 -75, 102
 -94,  85
-109,  65
-120,  41
-126,  17
-127,  -9
-123, -34
-114, -57
 -99, -79
 -82, -97
 -61,-111
 -37,-122
 -12,-127
  12,-126
  38,-121
  61,-111
  83, -96
 100, -78
 114, -57
 123, -32
 127,  -8
 126,  19
 120,  43
 109,  65
  93,  86
  74, 103
  53, 116
  28, 124
   3, 127
 -22, 125
 -47, 118
 -69, 107
 -90,  90
-106,  70
-118,  49
-125,  23
-127,  -1
-124, -28
-116, -52
-104, -73
 -86, -93
 -66,-108
 -44,-119
 -19,-126
   6,-127
  31,-123
  56,-114
  77,-101
  96, -83
 111, -63
 121, -40
 126, -14
 127,  11
 122,  37
 112,  60
  98,  80
  79,  99
  59, 113
  35, 122
   9, 127
 -15, 126
 -40, 120
 -64, 110
 -84,  95
-102,  75
-115,  54
-123,  31
-127,   4
-126, -20
-119, -46
-107, -68
 -92, -88
 -72,-105
 -50,-117
 -26,-124
   0,-127
  25,-125
  49,-117
  72,-105
  91, -89
 107, -68
 119, -46
 125, -22
 127,   4
 124,  29
 116,  54
 102,  75
  85,  94
  64, 110
  41, 120
  17, 126
  -9, 127
 -34, 123
 -57, 113
 -79,  99
 -97,  82
-112,  60
-122,  37
-127,  12
-126, -14
-121, -38
-111, -63
 -96, -83
 -78,-100
 -56,-114
 -32,-123
  -8,-127
  19,-126
  43,-120
  65,-108
  86, -93
 103, -74
 116, -52
 124, -28
 127,  -3
 125,  23
 118,  47
 107,  70
  90,  90
  70, 106
  47, 118
  23, 125
  -1, 127
 -28, 124
 -52, 116
 -73, 103
 -93,  86
-108,  66
-120,  43
-126,  19
-127,  -6
-123, -32
-114, -56
-101, -78
 -83, -96
 -63,-111
 -38,-121
 -14,-126
  11,-127
  37,-122
  60,-112
  80, -97
  99, -79
 113, -59
 123, -34
 127,  -9
 126,  15
 120,  41
 110,  64
  95,  85
  75, 102
  54, 115
  29, 124
   4, 127
 -20, 126
 -46, 119
 -68, 107
 -88,  91
-105,  72
-117,  50
-125,  25
-127,   0
-125, -25
-117, -50
-105, -72
 -89, -92
 -68,-107
 -46,-119
 -20,-126
   4,-127
  29,-124
  54,-115
  75,-102
  94, -84
 110, -64
 120, -41
 126, -15
 127,   9
 123,  34
 113,  59
  99,  79
  82,  98
  60, 112
  37, 122
  11, 127
 -14, 126
 -38, 121
 -63, 111
 -83,  96
-100,  77
-114,  56
-123,  32
-127,   6
-126, -19
-120, -43
-108, -66
 -93, -86
 -74,-104
 -52,-116
 -28,-124
  -1,-127
  23,-125
  47,-118
  70,-106
  90, -90
 106, -69
 118, -47
 125, -23
 127,   3
 124,  28
 116,  52
 103,  74
  86,  93
  66, 109
  43, 120
  19, 126
  -8, 127
 -32, 123
 -56, 114
 -78, 100
 -96,  83
-111,  61
-121,  38
-126,  14
-127, -12
-122, -37
-112, -60
 -97, -82
 -79, -99
 -59,-114
 -34,-123
  -9,-127
  17,-126
  41,-120
  64,-110
  85, -94
 102, -75
 115, -53
 124, -29
 127,  -4
 125,  22
 119,  46
 107,  68
  91,  89
  72, 105
  50, 118
  25, 125
   0, 127
 -26, 124
 -50, 117
 -72, 105
 -92,  88
-107,  68
-119,  44
-126,  20
-127,  -4
-123, -31
-115, -54
-102, -75
 -84, -95
 -64,-110
 -41,-121
 -15,-126
   9,-127
  35,-122
  59,-113
  79, -99
  98, -80
 112, -60
 122, -35
 127, -11
 126,  14
 121,  40
 111,  63
  96,  83
  77, 101
  56, 114
  32, 123
   6, 127
 -19, 126
 -44, 119
 -66, 108
 -86,  93
-104,  73
-116,  52
-124,  26
-127,   1
-125, -23
-118, -49
-106, -70
 -90, -90
 -69,-107
 -47,-118
 -23,-125
   3,-127
  28,-124
  53,-116
  74,-103
  93, -86
 109, -65
 120, -43
 126, -17
 127,   8
 123,  32
 114,  57
 100,  78
  83,  96
  61, 111
  38, 121
  14, 127
 -12, 127
 -37, 122
 -61, 111
 -82,  97
 -99,  79
-114,  57
-123,  34
-127,   8
-126, -17
-120, -41
-109, -65
 -94, -85
 -75,-102
 -53,-116
 -29,-124
  -4,-127
  22,-125
  46,-119
  69,-107
  89, -91
 105, -72
 118, -49
 125, -25
 127,   1
 124,  26
 117,  50
 104,  73
  88,  92
  68, 107
  44, 119
  20, 126
  -4, 127
 -31, 123
 -54, 115
 -77, 101
 -95,  84
-110,  64
-121,  40
-126,  15
-127, -11
-122, -35
-113, -59
 -98, -80
 -80, -98
 -60,-112
 -35,-122
 -11,-127
  14,-126
  40,-121
  63,-111
  84, -95
 101, -77
 114, -56
 123, -31
 127,  -6
 126,  20
 119,  44
 108,  66
  92,  88
  73, 104
  52, 116
  26, 124
   1, 127
 -23, 125
 -49, 118
 -70, 106
 -91,  89
-107,  69
-118,  47
-125,  22
-127,  -3
-124, -29
-116, -53
-103, -74
 -85, -94
 -65,-109
 -43,-120
 -17,-126
   8,-127
  32,-123
  57,-114
  78,-100
  97, -82
 111, -61
 121, -38
 127, -12
 127,  12
 122,  38
 111,  61
  97,  82
  78, 100
  57, 114
  34, 123
   8, 127
 -17, 126
 -41, 120
 -65, 109
 -85,  94
-103,  74
-116,  53
-124,  29
-127,   3
-125, -22
-119, -47
-107, -69
 -91, -89
 -70,-106
 -49,-118
 -25,-125
   1,-127
  26,-124
  50,-116
  73,-104
  92, -88
 108, -66
 119, -44
 126, -20
 127,   6
 123,  31
 115,  56
 101,  77
  84,  95
  63, 111
  40, 121
  15, 126
 -11, 127
 -35, 122
 -59, 112
 -80,  98
 -98,  80
-113,  59
-122,  35
-127,  11
-126, -15
-121, -40
-111, -64
 -95, -84
 -77,-101
 -54,-115
 -31,-123
  -6,-127
  20,-126
  44,-119
  66,-107
  88, -92
 104, -73
 117, -50
 124, -26
 127,  -1
 125,  25
 118,  49
 106,  72
  89,  91
  69, 107
  46, 119
  22, 125
  -3, 127
 -29, 124
 -53, 116
 -74, 102
 -94,  85
-109,  65
-120,  41
-126,  17
-127,  -8
-123, -34
-114, -57
-100, -79
 -82, -97
 -61,-111
 -37,-122
 -12,-127
  12,-127
  38,-121
  61,-111
  82, -96
 100, -78
 114, -57
 123, -32
 127,  -8
 126,  17
 120,  43
 109,  65
  94,  86
  74, 103
  53, 116
  28, 124
   3, 127
 -22, 125
 -47, 118
 -69, 107
 -89,  90
-106,  70
-118,  49
-125,  23
-127,  -1
-124, -26
-116, -52
-104, -73
 -88, -93
 -66,-108
 -44,-119
 -19,-126
   6,-127
  31,-123
  56,-114
  77,-101
  95, -83
 111, -63
 121, -40
 126, -14
 127,  11
 122,  35
 112,  60
  98,  80
  80,  99
  59, 113
  35, 122
   9, 127
 -15, 126
 -40, 121
 -64, 110
 -84,  95
-101,  75
-115,  54
-123,  31
-127,   4
-126, -20
-119, -44
-107, -68
 -92, -88
 -73,-105
 -50,-117
